Experience_Name,Rating,Reviews,City,Country,Duration,Languages,Cost,Group_Limit,Group_Start_Cost
Make Gnocchi and Ravioli at Home,4.97,1117,Florence,Italy,90, English and Italian,26,500,186
Learn To Make Argentine Empanadas,4.97,1187,Medellin,Colombia,120, English and Spanish,16,100,72
A Sandwich Masterclass with a Pro,4.97,913,New York,United States,60, English,15,500,150
Italian Masterclass - Gnocchi & Tiramisù,5,749,Sorrento,Italy,120, English,19,30,163
Diwali Special- Make Samosa & Coriander Chutney From Scratch,5,654,New Delhi,India,75, English,16,100,147
Interactive Indian cooking class with us,4.99,574,Jaipur,India,175, English,16,30,147
Diwali Special-Art of Indian Curry Recommended by BuzzFeed,5,17,Gurugram,India,75, English,27,100,167
Making Asian street food with family and friends,5,4,Kawanishi,Japan,60, English,18,6,106
Mamma Mia - Italian Pizza Cooking Class,4.95,132,Milano,Italy,75, English,21,30,82
Chinese Dim Sum and Street Food Cooking,5,8,Bangkok,Thailand,175, English,16,30,150
Easy Balinese Indonesian Home Cooking,4.99,783,North Denpasar,Indonesia,175, English,23,30,107
"From My House to Yours, Thai Cooking",4.98,458,Bangkok,Thailand,120, English,30,100,304
Diwali Special Vegetarian Menu-Cook Indian Dishes like a Pro,5,29,Delhi,India,75, English,27,100,167
A Big Love to Vietnamese cuisine,4.96,213,Ho Chi Minh City,Vietnam,120, English,19,30,75
Brazilian Recipes with Chef Mariana,4.96,114,San Paulo,Brazil,75, Portuguese and English,16,30,46
Cooking with a Moroccan Family,4.96,893,Marrakech,Morocco,90, English Arabic and French,11,30,9
Meals with Mini - Authentic Indian Food,5,2,Encinitas,United States,120, English,20,10,200
Korean Food Revolution,4.98,812,London,United Kingdom,90, English,22,30,165
Making & Eating Soup Dumplings vegan Ok,4.99,690,Shanghai,China,120, English and Chinese Simplified,27,500,308
Cook Beijing Style Noodles&Soy Bean Paste with Top Chef(vegan ok),4.98,96,Beijing,China,120, Chinese Simplified English and Chinese Traditional,17,30,436
Pizza class with Italian Pizza chef,4.99,72,Florence,Italy,75, English,19,15,87
Learn to Cook a Sri Lankan Meal at Home,4.96,135,Colombo,Sri Lanka,90, English,16,15,100
Get a taste of VietNam with Eat HoiAn,5,42,Hoi An City,Vietnam,120, English,16,15,66
